#,id,contactName,voucherNumber,voucherDate,totalAmount,_tax_rates,voucherStatus,_category
87,07940270-ba94-4aa8-ac9b-6399a27973cb,Freenet,M26009910205,2026-02-10T00:00:00.000+01:00,14.99,19%,paid,Telekommunikation > Festnetz
88,f88c2b9e-3aaa-436e-8f87-762495061667,Wolf Markt Gmbh Ig,1556718,2026-02-10T00:00:00.000+01:00,127.0,7%,paid,Material/Waren > Wareneinkauf
89,4d72465a-e49b-443e-bb8e-f6910a1ff63c,Metro Deutschland GmbH,10. 02. 2026/658/0/0/0521/005320,2026-02-10T00:00:00.000+01:00,584.99,7% / 19%,paid,Material/Waren > Wareneinkauf
90,9749a985-2fd6-4ef8-8a09-9e24fdd3915c,Lidl,3351 409314/04,2026-02-10T00:00:00.000+01:00,54.51,19%,paid,Material/Waren > Wareneinkauf
91,967c66e0-0de5-4a44-995b-ff4135d54151,Documaxx Hessler Digitaldruck GmbH,4356,2026-02-06T00:00:00.000+01:00,12.0,19%,paid,Werbung > Anzeigen Print- und Online
92,b0b83d9f-292c-462a-9281-ae489970635b,Wirmachendruck GmbH,34396803-6,2026-02-06T00:00:00.000+01:00,47.89,19%,paid,Werbung > Werbung
93,dce8e40f-e60f-4c45-a4e4-67f8eae95c70,Metro Deutschland GmbH,06. 02. 2026/658/0/0/0521/004760,2026-02-06T00:00:00.000+01:00,281.05,7% / 19%,paid,Material/Waren > Wareneinkauf
94,835f52bc-e137-4921-b63d-ae98d62311d4,Aldi,4480,2026-02-03T00:00:00.000+01:00,48.04,7%,paid,Material/Waren > Wareneinkauf
95,73ad9b4d-8c6c-4bae-82db-e18f0a3f1386,Metro Deutschland GmbH,03. 02. 2026/658/0/0/0521/004377,2026-02-03T00:00:00.000+01:00,268.35,7% / 19%,paid,Material/Waren > Wareneinkauf
96,9196f9f6-d502-45ea-88ff-bf80d975254a,"Refood Gmbh & Co. Kg,",10752442,2026-02-02T00:00:00.000+01:00,185.38,19%,paid,Raumkosten > Müllgebühren
97,e0d83783-ff22-446e-93eb-04fd96325478,Wolf Markt Gmbh I G,1554325,2026-02-02T00:00:00.000+01:00,204.65,7%,paid,Material/Waren > Wareneinkauf
98,9096582c-7568-49af-9a4a-9e44c5341ace,Sas Olinda,02-26-invoice-31561922,2026-02-01T00:00:00.000+01:00,31.2,19%,paid,Zinsen/Gebühren > Nebenkosten des Geldverkehrs
99,10dfbf1e-7651-4ad7-8845-564904a38e36,Mhb Mobility GmbH,7006,2026-02-01T00:00:00.000+01:00,87.61,19%,paid,Fahrzeug > Kraftstoff/Ladestrom
100,2c0de986-9ef0-4ee8-a3e8-694b876f9d85,Fastpack GmbH,RE61888,2026-02-01T00:00:00.000+01:00,67.83,19%,paid,Material/Waren > Wareneinkauf
101,010e4a00-2429-4c09-adea-77bccebb79b9,Sas Olinda,01-26-invoice-30746131,2026-01-31T00:00:00.000+01:00,28.8,0%,paid,Zinsen/Gebühren > Nebenkosten des Geldverkehrs
102,dab763e2-c2d0-4310-bd9b-edf762a98a9a,Metro Deutschland GmbH,31. 01. 2026/658/0/0/0521/003970,2026-01-31T00:00:00.000+01:00,113.18,7% / 19%,paid,Material/Waren > Wareneinkauf
103,18e2d573-f57a-44f9-907d-50a42e4949fa,Mrap GmbH,HCM3363153,2026-01-29T00:00:00.000+01:00,20.9,0%,paid,Sonstige Ausgaben > Lizenzen und Konzessionen
104,75f7f9f8-c212-4763-8a3d-fcfb7c9f3e21,Shenzhenshi Mengbailing Maoyiyouxiangongsi,PL60000TCGSQ31,2026-01-29T00:00:00.000+01:00,9.24,19%,paid,Material/Waren > Wareneinkauf
105,eb56715a-4e16-4652-9363-d9356b88a723,Lidl,3351 548170/01,2026-01-29T00:00:00.000+01:00,66.64,7% / 19%,paid,Material/Waren > Wareneinkauf
106,06bf542d-649a-4d17-8843-cdcb512e0dd7,Metro Deutschland GmbH,INV/2025/00650,2026-01-28T00:00:00.000+01:00,421.89,7%,paid,Material/Waren > Wareneinkauf
107,171d3e36-01d7-4fca-8bac-b9d160efdde8,"Dipl.-Kim, Frank Rusche,",2026000032,2026-01-27T00:00:00.000+01:00,3474.8,19%,paid,Beratung > Abschluss- und Prüfungskosten
108,cdae4eb8-07b5-4c71-9548-e9e83e1f741e,Metro Deutschland GmbH,27.01.2026/658/0/0/0521/003208,2026-01-27T00:00:00.000+01:00,229.64,7% / 19%,paid,Material/Waren > Wareneinkauf
109,40b02e12-ef3c-44ff-9c83-a9b2c84cafe4,Metro Markets GmbH,NLTR4F9BMQ4K33Q9,2026-01-26T00:00:00.000+01:00,74.97,19%,paid,Material/Waren > Material/Waren
110,d601ba55-ec3f-4b3f-9904-626e08a09a39,Star Tankstelle,4352,2026-01-24T00:00:00.000+01:00,84.18,19%,paid,Fahrzeug > Kraftstoff/Ladestrom
111,df1f7a11-fa50-4e8e-96fa-3f9fd39fbecd,Wolfmarkt GmbH,1551765,2026-01-24T00:00:00.000+01:00,137.43,7%,paid,Material/Waren > Wareneinkauf
112,31abcbc4-8fc7-4559-bf30-38af32b08ed5,Metro Deutschland GmbH,24.01. 2026/658/0/0/0521/003050,2026-01-24T00:00:00.000+01:00,182.27,19%,paid,Material/Waren > Wareneinkauf
113,039f755d-37d9-4b51-83c9-6d01cabc943f,Lidl,8187,2026-01-24T00:00:00.000+01:00,35.07,7% / 19%,paid,Material/Waren > Wareneinkauf
114,fa7f7b96-ce5c-4aec-a6bb-698709665128,Haufe Service Center GmbH,lx2026010323186,2026-01-23T00:00:00.000+01:00,47.48,19%,paid,Sonstige Ausgaben > Lizenzen und Konzessionen
115,9f0b14b4-2b4a-4eed-8226-037d4255417a,Getränke-Höpfner Voll-Service GmbH,R080076749,2026-01-21T00:00:00.000+01:00,390.42,19%,paid,Material/Waren > Wareneinkauf
116,d05fe3f1-dc17-4870-81a5-89055df7bc04,Metro Deutschland GmbH,21. 01. 2026/658/0/0/0521/002538,2026-01-21T00:00:00.000+01:00,205.61,7% / 19%,paid,Material/Waren > Wareneinkauf
117,1bfac367-1c52-4a5b-8f5c-a9c073fbfccf,Aldi,2126,2026-01-20T00:00:00.000+01:00,71.56,19%,paid,Material/Waren > Wareneinkauf
118,fedc530d-3cca-4486-ae6f-c29556cb9874,Sumup,5100192779,2026-01-20T00:00:00.000+01:00,19.0,0%,paid,Sonstige Ausgaben > Lizenzen und Konzessionen
